,Crime,Date,Latitude,Longitude
0,CRIMINAL DAMAGE,2020-04-03T23:58:00.000,41.963521319,-87.708319806
1,THEFT,2020-04-03T23:55:00.000,41.764682386,-87.66378579200001
2,ROBBERY,2020-04-03T23:55:00.000,41.926879391,-87.650766841
3,PUBLIC PEACE VIOLATION,2020-04-03T23:54:00.000,41.778034384,-87.76259942200001
4,ASSAULT,2020-04-03T23:53:00.000,41.888092864,-87.755348129
5,OTHER OFFENSE,2020-04-03T23:45:00.000,41.792496598,-87.732943721
6,BATTERY,2020-04-03T23:40:00.000,41.762473766999996,-87.708709621
7,WEAPONS VIOLATION,2020-04-03T23:38:00.000,41.748737209,-87.600264583
8,BATTERY,2020-04-03T23:36:00.000,41.873765737,-87.699296047
9,BATTERY,2020-04-03T23:35:00.000,41.76661797,-87.64078229200001
10,CRIMINAL DAMAGE,2020-04-03T23:35:00.000,41.797832731999996,-87.646009744
11,CRIMINAL SEXUAL ASSAULT,2020-04-03T23:30:00.000,41.944628105999996,-87.721696799
12,ASSAULT,2020-04-03T23:30:00.000,41.886250518000004,-87.76339271
13,BATTERY,2020-04-03T23:30:00.000,41.724256394,-87.638435046
14,BATTERY,2020-04-03T23:30:00.000,41.906750761,-87.723990805
15,BATTERY,2020-04-03T23:30:00.000,41.900863893,-87.72441777899999
16,WEAPONS VIOLATION,2020-04-03T23:20:00.000,41.885456468,-87.712397438
17,ASSAULT,2020-04-03T23:20:00.000,41.839630557,-87.730506978
18,BATTERY,2020-04-03T23:17:00.000,41.966653193,-87.654795347
19,BATTERY,2020-04-03T23:15:00.000,41.862535492,-87.65219317200001
20,BATTERY,2020-04-03T23:15:00.000,41.850500286999996,-87.714963554
21,THEFT,2020-04-03T23:12:00.000,41.773054421,-87.644613656
22,BATTERY,2020-04-03T23:11:00.000,41.735418574,-87.601474904
23,BATTERY,2020-04-03T23:10:00.000,41.965909626999995,-87.669364213
24,CRIMINAL DAMAGE,2020-04-03T23:10:00.000,41.785842133,-87.731979131
25,WEAPONS VIOLATION,2020-04-03T23:09:00.000,41.702036437,-87.56322017299999
26,BATTERY,2020-04-03T23:03:00.000,41.770577359,-87.649841973
27,BATTERY,2020-04-03T23:02:00.000,41.735218425,-87.65332025200001
28,THEFT,2020-04-03T23:00:00.000,41.773426876,-87.670136017
29,CRIMINAL DAMAGE,2020-04-03T23:00:00.000,41.716517431999996,-87.622731926
30,BURGLARY,2020-04-03T23:00:00.000,41.877847257,-87.65338922299999
31,THEFT,2020-04-03T23:00:00.000,41.787220144,-87.70337263299999
32,ASSAULT,2020-04-03T23:00:00.000,41.861718384,-87.71284742
33,WEAPONS VIOLATION,2020-04-03T22:57:00.000,41.689449965,-87.537694205
34,BATTERY,2020-04-03T22:56:00.000,41.824928186,-87.674312031
35,BATTERY,2020-04-03T22:55:00.000,41.708242575999996,-87.639226455
36,CRIMINAL DAMAGE,2020-04-03T22:51:00.000,41.809526776999995,-87.606875005
37,OTHER OFFENSE,2020-04-03T22:50:00.000,41.93749426,-87.77921863600001
38,BATTERY,2020-04-03T22:50:00.000,41.768901522,-87.572703345
39,BATTERY,2020-04-03T22:45:00.000,41.891801459,-87.715505585
40,WEAPONS VIOLATION,2020-04-03T22:39:00.000,41.824523488000004,-87.607193465
41,CRIMINAL DAMAGE,2020-04-03T22:38:00.000,41.924638233,-87.662086581
42,CRIMINAL DAMAGE,2020-04-03T22:30:00.000,41.702938712,-87.619662566
43,THEFT,2020-04-03T22:30:00.000,41.886406836,-87.70699707200001
44,OTHER OFFENSE,2020-04-03T22:26:00.000,41.897616656,-87.762182382
45,BATTERY,2020-04-03T22:25:00.000,41.721623049,-87.62470134200001
